,Name,Wert
4,gpm,0.06496376401866207
5,lt_ppent,0.05515020965169357
3,intcov_ratio,0.05368410605393565
56,curr_ratio,0.04466124225041563
19,GProf,0.04042313999392169
50,fcf_ocf,0.03111569545552091
15,rect_turn,0.027792641153696715
40,ptpm,0.02513915555135468
69,aftret_eq,0.02504130707042049
45,cash_debt,0.023413642495429383
64,debt_capital,0.021595219054998106
39,opmbd,0.021459176537885167
6,,
25,,
1,,
63,,
44,,
55,,
58,,
31,,
74,,
29,,
37,,
68,,
18,,
61,,
22,,
43,,
38,,
62,,
13,,
60,,
51,,
24,,
67,,
66,,
2,,
7,,
65,,
17,,
